"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dad11",9.46092951920891e-23,0.492290397735541,0.512,0.4,3.18795481079263e-18,"5","Dad1"
"Epb41l11",1.47617940313843e-22,0.619528211511869,0.375,0.268,4.97413411681525e-18,"5","Epb41l1"
"Camta11",2.64171992206012e-22,0.551618251998399,0.472,0.364,8.90153944937377e-18,"5","Camta1"
"Edf11",3.11255212713964e-22,0.564067383316562,0.406,0.3,1.04880556476097e-17,"5","Edf1"
"Atox11",3.92694992362157e-22,0.522445466074095,0.522,0.419,1.32322504626352e-17,"5","Atox1"
"Rora1",4.00928193167045e-22,0.758204385905475,0.314,0.215,1.35096763969568e-17,"5","Rora"
"Tapbp2",4.47662560792686e-22,0.69236138130856,0.335,0.235,1.50844376484704e-17,"5","Tapbp"
"Tmbim62",1.04252670244297e-21,0.426992041104998,0.574,0.464,3.51289797655183e-17,"5","Tmbim6"
"Emp11",1.11784188776333e-21,0.547615209724372,0.468,0.357,3.76668002500732e-17,"5","Emp1"
"Rpn21",1.71179520430507e-21,0.598158800511259,0.384,0.278,5.76806512042636e-17,"5","Rpn2"
"Lrig12",2.12463437032191e-21,0.678815171381917,0.346,0.247,7.15916797423669e-17,"5","Lrig1"
"Nedd41",2.36374595788601e-21,0.359044249225223,0.774,0.684,7.9648783796927e-17,"5","Nedd4"
"Acsl42",2.51610309863337e-21,0.476972409483242,0.543,0.438,8.47826100115501e-17,"5","Acsl4"
"Cnpy22",2.5737645935999e-21,0.598753509013683,0.323,0.221,8.67255717459422e-17,"5","Cnpy2"
"Junb1",2.92854572211059e-21,0.27252905668177,0.779,0.684,9.86802766522383e-17,"5","Junb"
"Sqle2",3.74161006686955e-21,0.727549350919562,0.264,0.173,1.26077292813236e-16,"5","Sqle"
"Timp12",4.8993660457686e-21,0.68367956604877,0.264,0.171,1.65089038278219e-16,"5","Timp1"
"Lman11",7.70927590755803e-21,0.515537278940589,0.445,0.338,2.59771760981075e-16,"5","Lman1"
"Atxn101",8.08027036277374e-21,0.408174570721034,0.66,0.572,2.72272790144024e-16,"5","Atxn10"
"Tmem59",1.22308463131691e-20,0.505181126229542,0.478,0.376,4.12130597368547e-16,"5","Tmem59"
"Epn2",1.24569937215422e-20,0.635112350610167,0.389,0.287,4.19750860441086e-16,"5","Epn2"
"Tspan32",1.32046913385357e-20,0.662419037579958,0.276,0.182,4.44945279343297e-16,"5","Tspan3"
"Ccnd12",1.53846096951226e-20,0.280486543056837,0.723,0.601,5.18399808286853e-16,"5","Ccnd1"
"Use1",2.09345301733756e-20,0.623739359714984,0.358,0.259,7.05409928722065e-16,"5","Use1"
"Zfand51",2.67965122752158e-20,0.410349734862242,0.615,0.516,9.02935277625672e-16,"5","Zfand5"
"Smim141",3.00933547401253e-20,0.508993006490065,0.458,0.354,1.01402568132326e-15,"5","Smim14"
"Cd92",3.06826191494044e-20,0.521515994917858,0.491,0.39,1.03388153485833e-15,"5","Cd9"
"Tpm22",3.58007308547973e-20,0.596857146485602,0.368,0.268,1.20634142688325e-15,"5","Tpm2"
"Asap12",3.60602044845036e-20,0.349042334908801,0.702,0.611,1.21508465030983e-15,"5","Asap1"
"Reep31",3.70995342002654e-20,0.714435684705756,0.291,0.198,1.25010590441214e-15,"5","Reep3"
"Sema5a1",6.71277629521353e-20,0.772520760079372,0.267,0.179,2.26193710043515e-15,"5","Sema5a"
"Ywhab2",7.5517252803921e-20,0.479156757310103,0.517,0.419,2.54462935048092e-15,"5","Ywhab"
"H2aj1",7.96978324352241e-20,0.54325097581056,0.44,0.339,2.68549816173731e-15,"5","H2aj"
"Sec11a1",1.13382626443962e-19,0.610763258048804,0.316,0.22,3.82054098065575e-15,"5","Sec11a"
"Selenom",1.17698334895343e-19,0.720321147971942,0.254,0.168,3.96596309263347e-15,"5","Selenom"
"Acvr1",1.5235149857166e-19,0.740808068621755,0.255,0.168,5.13363609587064e-15,"5","Acvr1"
"Rbms11",2.33689771546306e-19,0.372111766354022,0.654,0.558,7.87441054202434e-15,"5","Rbms1"
"Ier22",2.56797665609022e-19,0.497402416464182,0.505,0.407,8.65305414036161e-15,"5","Ier2"
"Oaz11",3.31984751488863e-19,0.302091634794073,0.715,0.609,1.11865581861687e-14,"5","Oaz1"
"Piezo12",4.07066175659212e-19,0.594849830821238,0.318,0.221,1.37165018550128e-14,"5","Piezo1"
"Nr2f12",4.42513042569879e-19,0.671779599711899,0.269,0.179,1.49109194824347e-14,"5","Nr2f1"
"Ssr41",4.97230582021192e-19,0.501436307142944,0.454,0.359,1.67546816917861e-14,"5","Ssr4"
"Lamtor1",4.97678082579839e-19,0.793212452444769,0.258,0.174,1.67697606706103e-14,"5","Lamtor1"
"Chmp4b1",8.82031418464587e-19,0.497496223340776,0.394,0.298,2.97209306765827e-14,"5","Chmp4b"
"Jund",1.08892467505259e-18,0.420366337057107,0.572,0.475,3.66924058505722e-14,"5","Jund"
"Dap1",1.95002143387305e-18,0.487625171226916,0.458,0.362,6.57079222357862e-14,"5","Dap"
