"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sec61g2",6.41961452579394e-29,0.880902610846592,0.781,0.753,2.16315331061152e-24,"11","Sec61g"
"Rpl36al",2.39334992219061e-28,0.735650673239989,0.798,0.792,8.06463189781348e-24,"11","Rpl36al"
"Gpx42",2.54244747816611e-28,1.03182584678155,0.699,0.659,8.56703102242853e-24,"11","Gpx4"
"Cmss11",3.14501804248548e-28,0.663729608103083,0.882,0.907,1.05974527959591e-23,"11","Cmss1"
"Cct21",3.62529401332987e-28,0.611772229556784,0.916,0.936,1.22157907073163e-23,"11","Cct2"
"mt-Co31",4.40885700153928e-28,0.452925137127831,0.986,0.992,1.48560845523868e-23,"11","mt-Co3"
"Ifitm35",5.82663371271135e-28,1.14600245410701,0.711,0.603,1.96334249583522e-23,"11","Ifitm3"
"Rps173",5.83894533519839e-28,0.669349863094229,0.896,0.911,1.96749102014845e-23,"11","Rps17"
"Fth13",1.16862872578484e-27,0.582856839569731,0.99,0.99,3.93781135440459e-23,"11","Fth1"
"mt-Atp6",1.28337630664317e-27,0.468197758540229,0.988,0.99,4.32446480286484e-23,"11","mt-Atp6"
"Cox8a2",1.38672338204798e-26,0.867359077350413,0.73,0.72,4.67270310814886e-22,"11","Cox8a"
"mt-Nd41",2.63179456188329e-26,0.53270060828981,0.964,0.978,8.86809495572194e-22,"11","mt-Nd4"
"mt-Nd1",3.12313191754952e-26,0.472585589360324,0.983,0.988,1.05237053093749e-21,"11","mt-Nd1"
"Pabpc11",6.04696903475052e-26,0.602902211785986,0.93,0.951,2.03758668594954e-21,"11","Pabpc1"
"Pfdn51",6.2042479330532e-26,0.900226381175323,0.733,0.74,2.09058338352161e-21,"11","Pfdn5"
"Cald12",9.9728954292883e-26,0.925182042556236,0.757,0.758,3.36046684385298e-21,"11","Cald1"
"Atp5mc22",1.03897374987697e-25,0.802726773414446,0.783,0.774,3.50092594758543e-21,"11","Atp5mc2"
"Gnas1",1.12519951444793e-25,0.678566258235675,0.875,0.893,3.79147228388375e-21,"11","Gnas"
"mt-Co2",1.4071823892409e-25,0.415129289432536,0.993,0.993,4.74164177878613e-21,"11","mt-Co2"
"Nap1l1",3.84005797362299e-25,0.81359421959792,0.817,0.818,1.293945934792e-20,"11","Nap1l1"
"Cyb5r33",7.65255298232585e-24,2.00551887809539,0.439,0.304,2.57860425292452e-19,"11","Cyb5r3"
"BC0040041",8.34362535667851e-24,1.02029661104791,0.675,0.671,2.81146800018639e-19,"11","BC004004"
"Tspo5",9.79423923897744e-24,0.977362760301653,0.692,0.663,3.30026685396584e-19,"11","Tspo"
"Rpl35a2",1.16321860697642e-23,0.66609725974721,0.87,0.893,3.91958141806774e-19,"11","Rpl35a"
"Atp5f1e1",4.27552485395542e-23,1.21880675167251,0.573,0.504,1.44068085478882e-18,"11","Atp5f1e"
"S100a115",4.97973471799375e-23,1.07433293993546,0.665,0.62,1.67797141057517e-18,"11","S100a11"
"Gm100762",2.68953164218064e-21,0.921624809035888,0.639,0.595,9.06264582149187e-17,"11","Gm10076"
"Rpl101",1.06465577127974e-20,0.600168263278724,0.911,0.942,3.58746408690421e-16,"11","Rpl10"
"B2m4",1.4551497029194e-20,0.782943859417029,0.757,0.766,4.90327243895722e-16,"11","B2m"
"Cox7c1",8.63739441592007e-20,0.838013953509491,0.684,0.678,2.91045642238843e-15,"11","Cox7c"
"Serf24",2.33171831011816e-19,1.1501645419589,0.59,0.557,7.85695801777414e-15,"11","Serf2"
"Ccnd15",4.57213442608098e-19,0.942759308790692,0.682,0.618,1.54062641621225e-14,"11","Ccnd1"
"Hspa82",8.27467441415829e-19,0.494907888044422,0.923,0.945,2.78823429059478e-14,"11","Hspa8"
"Eif2s23",4.09977770457624e-18,0.975528963700904,0.624,0.633,1.38146109533401e-13,"11","Eif2s2"
"Gapdh3",5.98345680075785e-18,0.622580762928116,0.94,0.961,2.01618560358337e-13,"11","Gapdh"
"Naca2",1.72621179468538e-17,0.50749569262337,0.887,0.927,5.81664326337186e-13,"11","Naca"
"Rbp15",3.71724764130485e-17,1.22812063150872,0.52,0.426,1.25256376521408e-12,"11","Rbp1"
"Mif3",5.88432827491068e-17,0.566057065429128,0.894,0.919,1.9827832555139e-12,"11","Mif"
"Hspd11",9.75691204070882e-17,0.729826772235128,0.718,0.762,3.28768908123724e-12,"11","Hspd1"
"Atp5mf5",1.05212248898645e-16,1.07330759705795,0.523,0.469,3.54523193888875e-12,"11","Atp5mf"
