"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"POLR2K1",7.57632762809182e-06,0.36195633165484,0.31,0.202,0.44639722384717,"6","POLR2K"
"TMEM258",7.77388491693573e-06,0.301371478931306,0.431,0.296,0.458037299305853,"6","TMEM258"
"KPNA3",8.39794944237501e-06,0.282627987738147,0.288,0.181,0.494807181144735,"6","KPNA3"
"SPCS3",9.17350992288907e-06,0.262111091665849,0.464,0.314,0.540503204656624,"6","SPCS3"
"EIF2S1",9.25370201166115e-06,0.394325646593694,0.27,0.171,0.545228122527075,"6","EIF2S1"
"C19orf53",9.45924497918787e-06,0.277312145766564,0.577,0.418,0.557338714173749,"6","C19orf53"
"CCDC59",9.49659390782577e-06,0.372710371316863,0.302,0.196,0.559539313049094,"6","CCDC59"
"BCAS3",9.51967015942133e-06,0.355265636119123,0.337,0.223,0.560898965793105,"6","BCAS3"
"PDP1",9.87281713910796e-06,0.346915847468791,0.283,0.18,0.581706385836241,"6","PDP1"
"NUCB2",9.92179846799431e-06,0.363674960938362,0.278,0.177,0.584592365734225,"6","NUCB2"
"RBIS",1.00900194352245e-05,0.289037677594361,0.585,0.422,0.594503945123426,"6","RBIS"
"MAZ",1.01108237852052e-05,0.326466250412918,0.315,0.205,0.595729737424293,"6","MAZ"
"COMTD1",1.11573461676966e-05,0.256677689984848,0.302,0.194,0.657390836200684,"6","COMTD1"
"CLTA1",1.1350862183385e-05,0.262834457917124,0.803,0.653,0.668792799845047,"6","CLTA"
"RAD23B",1.1651514335195e-05,0.270992858626447,0.499,0.348,0.686507224629687,"6","RAD23B"
"ARID1A",1.18345730109546e-05,0.360254180327396,0.299,0.195,0.697293041805447,"6","ARID1A"
"SRI2",1.1848321121102e-05,0.314696444394983,0.617,0.459,0.698103080455332,"6","SRI"
"RNF181",1.18855744366148e-05,0.338660634125262,0.337,0.221,0.700298045805343,"6","RNF181"
"MANF",1.18858564831716e-05,0.342069495698377,0.294,0.19,0.700314663988473,"6","MANF"
"AKR1A11",1.24093942266512e-05,0.341980026803492,0.367,0.248,0.731161507834291,"6","AKR1A1"
"RNF169",1.25289371190166e-05,0.405943727369225,0.272,0.175,0.738204975052459,"6","RNF169"
"GTPBP42",1.2850508455357e-05,0.359216080321485,0.466,0.339,0.757151958189635,"6","GTPBP4"
"TCERG11",1.38171986840203e-05,0.298312165738611,0.415,0.286,0.814109346462474,"6","TCERG1"
"LYRM41",1.39783785880029e-05,0.419737019283821,0.261,0.167,0.82360606640513,"6","LYRM4"
"MAP4K5",1.41560240223599e-05,0.32003639327113,0.396,0.273,0.834072935397446,"6","MAP4K5"
"MPST",1.44141717763442e-05,0.253379457316106,0.305,0.195,0.849283001062202,"6","MPST"
"U2SURP",1.50416714724686e-05,0.260963177687096,0.736,0.56,0.886255283157848,"6","U2SURP"
"SLC25A391",1.54952452493284e-05,0.351732949824343,0.27,0.171,0.912979850090428,"6","SLC25A39"
"LINC01503",1.57472986158504e-05,0.368429321669007,0.261,0.166,0.927830834445906,"6","LINC01503"
"IDI1",1.63324244431578e-05,0.291240662395167,0.261,0.163,0.962306448190857,"6","IDI1"
"SELENOF1",1.64604671716766e-05,0.358043501131411,0.337,0.227,0.969850725755182,"6","SELENOF"
"TXNL4A1",1.67525985297801e-05,0.365114765158082,0.35,0.24,0.987063105374641,"6","TXNL4A"
"ATP5PB1",1.67722540656354e-05,0.252027748096531,0.431,0.298,0.988221209547236,"6","ATP5PB"
"PHAX1",1.67767970979193e-05,0.286807521462793,0.272,0.173,0.988488885009403,"6","PHAX"
"SPTSSA1",1.87272773692092e-05,0.331558302367325,0.288,0.188,1,"6","SPTSSA"
"OST41",1.92446849970185e-05,0.259032029097331,0.693,0.518,1,"6","OST4"
"PPA21",1.92697569364889e-05,0.326295395023446,0.291,0.19,1,"6","PPA2"
"CDKAL1",1.94133843506293e-05,0.333841015420465,0.404,0.282,1,"6","CDKAL1"
"ATR1",1.99748027502762e-05,0.341841615179755,0.256,0.163,1,"6","ATR"
"MRPS211",2.04259094985688e-05,0.435731868614886,0.267,0.175,1,"6","MRPS21"
"EIF3J",2.06701261144197e-05,0.327220971534778,0.369,0.249,1,"6","EIF3J"
"NBDY",2.08508493635799e-05,0.271003433742825,0.367,0.246,1,"6","NBDY"
"GRSF1",2.10258285072251e-05,0.307805736603593,0.353,0.239,1,"6","GRSF1"
"TMCO1",2.16646225684546e-05,0.3742948026583,0.261,0.169,1,"6","TMCO1"
"HRAS",2.19210132940008e-05,0.311062814924161,0.334,0.223,1,"6","HRAS"
"BUD31",2.1930882382723e-05,0.348620116633981,0.34,0.23,1,"6","BUD31"
"GRB21",2.2167019817219e-05,0.27199070472671,0.404,0.276,1,"6","GRB2"
"NAA20",2.39007337858662e-05,0.2512941825939,0.518,0.372,1,"6","NAA20"
"TOPORS",2.40120282613529e-05,0.28156682762005,0.283,0.183,1,"6","TOPORS"
"SARNP",2.47038150431763e-05,0.25336487074909,0.315,0.207,1,"6","SARNP"
"POLR2J",2.51496595378939e-05,0.345300758104093,0.259,0.165,1,"6","POLR2J"
"RBM472",2.56064632759991e-05,0.325257994115528,0.307,0.207,1,"6","RBM47"
"SLC25A61",2.6258995091874e-05,0.251887184682791,0.623,0.462,1,"6","SLC25A6"
"ERGIC2",2.68263110790954e-05,0.255389701191346,0.261,0.164,1,"6","ERGIC2"
"MAGOH",2.77601946007109e-05,0.273024955610477,0.302,0.198,1,"6","MAGOH"
"GOPC1",2.80545260588097e-05,0.25239455790695,0.326,0.217,1,"6","GOPC"
"CEP83",2.92580295398674e-05,0.423287770330619,0.251,0.161,1,"6","CEP83"
"SMARCA21",2.94045939242337e-05,0.363141664587228,0.267,0.174,1,"6","SMARCA2"
"PTPMT11",3.00997929592097e-05,0.358093071671593,0.27,0.175,1,"6","PTPMT1"
"TASOR2",3.023083920208e-05,0.31910130869317,0.391,0.273,1,"6","TASOR2"
"RAB3GAP1",3.07712411339691e-05,0.276274582929375,0.369,0.253,1,"6","RAB3GAP1"
"MRPL521",3.14406844115357e-05,0.416256380269668,0.318,0.217,1,"6","MRPL52"
"SMS1",3.18902351907904e-05,0.272866425608711,0.385,0.266,1,"6","SMS"
"LARP11",3.26154747158861e-05,0.299933114621815,0.404,0.285,1,"6","LARP1"
"ESD",3.34533818509574e-05,0.252712056006512,0.391,0.269,1,"6","ESD"
"TMBIM4",3.37132220234778e-05,0.353171321555468,0.353,0.246,1,"6","TMBIM4"
"RAB34",3.37448343764652e-05,0.339277132933393,0.305,0.204,1,"6","RAB34"
"IER3IP11",3.40395969344593e-05,0.261216800630729,0.348,0.236,1,"6","IER3IP1"
"CAPN11",4.00809709518509e-05,0.282232103961499,0.334,0.226,1,"6","CAPN1"
"GSDMD1",4.03360318848785e-05,0.303555968790922,0.251,0.16,1,"6","GSDMD"
"CDK12",4.17979681176999e-05,0.279742079255917,0.345,0.234,1,"6","CDK12"
"ECHS11",4.2165440609297e-05,0.303435609275556,0.323,0.22,1,"6","ECHS1"
"ATOX11",4.35107606165132e-05,0.455715622067318,0.278,0.186,1,"6","ATOX1"
"UCHL3",4.52658585526015e-05,0.390569873151274,0.294,0.195,1,"6","UCHL3"
"PTRH21",4.53913275313458e-05,0.347776177830901,0.27,0.177,1,"6","PTRH2"
"BTG31",4.65589231526819e-05,0.302838063120015,0.313,0.209,1,"6","BTG3"
"TNFRSF211",5.03459026170705e-05,0.293737012402469,0.296,0.199,1,"6","TNFRSF21"
"MAGI3",5.53915731704568e-05,0.307418733971163,0.302,0.205,1,"6","MAGI3"
"CPSF6",5.94274141145602e-05,0.332586177188363,0.294,0.197,1,"6","CPSF6"
