"","0-E","1-E","2-E","3-E","4-E","5-E","6-E","7-E","0-Fib","1-Fib","2-Fib","3-Fib","4-Fib","5-Fib","6-Fib","7-Fib","8-Fib","9-Fib","10-Fib","11-Fib","12-Fib"
"VEGF",0,0,0,0,0,0,0,0,0.788761143645059,0.268668083572154,1.00429544357294,0.28098467838355,0.183822666549074,0,0.259614893063797,0,0,0,0.1118095996642,0,0.300775920800053
"PLAU",0.0833576755972952,0.296361146068175,0.297846192118919,0.287890930617115,0.569824133888805,0.0702804058709458,0.0192257218347034,0.0722043461328234,0.0757023280614797,0.0799273746521761,0.085362345677058,0.0875353059809237,0.0685889200565562,0,0.0633154125461548,0,0,0.0633857748579737,0.0927635859645415,0,0
"CDH1",0.289928528546976,0.337930715296874,0.322706255019052,0.310953564390242,0.335036905821004,0.305061440426045,0.12189567813155,0.274307022323568,0,0,0,0,0,0,0,0,0,0,0,0,0
"NRG",0.106935573608796,0.126554029310005,0.187794313118965,0.116375858420717,0.158482162264353,0.164791316729736,0,0.0932256598960294,0,0,0,0,0,0,0,0,0,0,0,0,0
"GAP",0,0,0.0787641539181222,0,0.0661061014477192,0,0,0,0.0568161711340434,0.124033954276666,0.137263478590007,0.0474471074577464,0.200194344065032,0.0463541907170725,0.0465664018947064,0,0,0.0595961152502517,0.0645665755345293,0,0
"CLDN",0.0841870207430685,0,0.0707419464076883,0.361278539822673,0.250002593359315,0.0609821964291413,0,0.0928740739021495,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD46",0.107734826970175,0.101965468163018,0.110560335766493,0.0648865977518877,0.0651360221257149,0.113858784134668,0,0.0885570294418935,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0.0560334953386267,0.0656914462658467,0.0593802984080006,0.0977849418661861,0.151326881490917,0.051889251107217,0,0.0488933171599318,0,0,0,0,0,0,0,0,0,0,0,0,0
"APP",0,0,0,0.225697681043373,0,0,0,0.131572500516998,0,0,0,0,0,0,0,0,0,0,0,0,0
"VISFATIN",0,0,0,0,0,0,0,0,0,0.0663614518099085,0,0,0.105471808221603,0.0669935303878787,0,0,0,0.101030067725705,0,0,0
"TRAIL",0,0,0,0.146888814832842,0,0.13665697403749,0,0.0509592331831492,0,0,0,0,0,0,0,0,0,0,0,0,0
"ncWNT",0.0264957557905334,0.0236313699173678,0.0716203503626784,0.0426196081421306,0.0582985569839972,0.0259214761213764,0,0.021539710054162,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF",0,0,0,0,0,0,0,0,0.0201463251515571,0.0204483435250123,0.0375275786207507,0.0352809052312065,0.0173171008405755,0.0211219596464499,0.0378344263739307,0,0,0.0168576621083307,0.0314638979901807,0,0.0162895838002065
"ADGRL",0,0,0,0,0,0,0,0,0,0.10076425743378,0,0,0.108338112995112,0,0,0,0,0,0,0,0
"NOTCH",0,0,0,0,0,0,0,0,0,0.0382178935427317,0.0308623578031966,0,0.0338249015583482,0.0381863519401665,0,0,0,0.031578957370601,0,0,0
"CD99",0.0262057370364082,0.0301539583128568,0.0230887697146948,0.0200562858596011,0.0144684156375774,0.0214461971154233,0,0.024670470215578,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPZ",0.0276249625997453,0,0.0257209393676315,0.0195682404629325,0.0122425369048853,0.0256867134564237,0,0.0227090447645449,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPHB",0,0,0,0.0893437422516726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPHA",0,0,0,0.0802965653548309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SLITRK",0,0,0,0.00621354053490193,0,0,0,0,0,0.014478472691494,0.0137847478408755,0,0.0125316182837233,0.0103032660910243,0,0,0,0.0106999184052522,0,0,0
"NECTIN",0,0,0.00808385045194921,0.0130838260014368,0.0292376199488743,0,0,0.00223319832649628,0,0,0,0,0,0,0,0,0,0,0,0,0
"IGFBP",0,0,0,0.0195122591097383,0,0,0,0.015592580944051,0,0,0,0,0,0,0,0,0,0,0,0,0
