"","0-E","1-E","2-E","3-E","4-E","5-E","6-E","7-E","0-Fib","1-Fib","2-Fib","3-Fib","4-Fib","5-Fib","6-Fib","7-Fib","8-Fib","9-Fib","10-Fib","11-Fib","12-Fib"
"GAP",0,0,0.0233815486236075,0,0.0196179072823878,0,0,0,0.0808046348642211,0.0993770363038793,0.103667509619616,0.0674706182804292,0.224657065916529,0.0659154199191895,0.0662173882514166,0,0,0.0847617396331633,0.0918377255914574,0,0
"CLDN",0.0841870207430685,0,0.0707419464076883,0.361278539822673,0.250002593359315,0.0609821964291413,0,0.0928740739021495,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD46",0.0969617221338872,0.0465975680803589,0.111206564252199,0.0960440145572803,0.111543551309488,0.0970259179901225,0,0.0933197260305137,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAM",0.0560334953386267,0.0656914462658467,0.0593802984080006,0.0977849418661861,0.151326881490917,0.051889251107217,0,0.0488933171599318,0,0,0,0,0,0,0,0,0,0,0,0,0
"APP",0.0398891118337903,0.04036928459984,0.0387582170481685,0.0327448849658448,0.0372108234942454,0.0409410732335694,0.013189257518137,0.0340678286494687,0.0079319947173449,0.00857966396054122,0.00822102526538176,0.00831408216562298,0.0080205989021563,0.00913871879924126,0.00734474217203604,0,0,0.00815506981146319,0.00701346465306371,0,0.0073803397704559
"VISFATIN",0.0344355670113624,0.0345419808387238,0.0344456669421711,0.0741018384719529,0.0277641974333043,0.027946391540162,0,0.0291960716761741,0.0291465315630739,0,0.0307214689628397,0.0175571437053313,0,0,0,0,0,0,0,0,0
"TRAIL",0.046387540920732,0.0437054729343765,0.052018378402773,0.0406105304068169,0.0516311046968465,0.0482426702339741,0.0144779585226538,0.0374313659353083,0,0,0,0,0,0,0,0,0,0,0,0,0
"ncWNT",0.0588520817794674,0,0.054223021747119,0.0495745563950222,0,0.0553819736813621,0,0.0520951937692751,0,0,0,0,0,0,0,0,0,0,0,0,0
"FGF",0,0,0,0,0,0,0,0,0,0.0672524195506517,0.0447473896311978,0,0,0.0884293203115114,0,0,0,0.0538586537948399,0,0,0
"ADGRL",0.0417134891365466,0.0156273157001492,0.0489047277169256,0.00916461214733363,0.00965368180034871,0.0425177795130961,0,0.0351227535108197,0,0,0,0.00639801090367311,0,0,0,0,0,0,0,0,0
"NOTCH",0.0285301538862048,0.0269871018546036,0.0292864890255164,0.0171114690963954,0.0171776629477506,0.0301699496106839,0,0.0234076357938893,0,0,0,0,0,0,0,0,0,0,0,0,0
"CD99",0.0262057370364082,0.0301539583128568,0.0230887697146948,0.0200562858596011,0.0144684156375774,0.0214461971154233,0,0.024670470215578,0,0,0,0,0,0,0,0,0,0,0,0,0
"MPZ",0.0276249625997453,0,0.0257209393676315,0.0195682404629325,0.0122425369048853,0.0256867134564237,0,0.0227090447645449,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPHB",0.0130692936031378,0.0150442375996334,0.0167954125408018,0.00845939418585714,0.0142026775717096,0.0118234453348052,0.0062219925687713,0.00372728884695639,0,0,0,0,0,0,0,0,0,0,0,0,0
"EPHA",0.00659992504029433,0,0.00612846638965545,0.0244387205002375,0.00607551294917116,0.00607422645107226,0,0.0127544793760112,0,0.00414361914905251,0.00452888173525345,0,0.00514464011276155,0,0,0,0,0.00440809365132155,0,0,0
"SLITRK",0.0241817425763275,0,0.0191635425794392,0,0,0.0246662786915045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NECTIN",0,0,0.00220729520415918,0.00191723554632114,0.00322081291060686,0,0,0,0,0.0180582425444106,0,0,0.0132198479128676,0,0,0,0,0.0140150606103912,0,0,0
"IGFBP",0,0,0,0.0281375253135693,0.00696731474021999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FLRT",0.00731881135047498,0,0.00967836890228827,0,0,0.00567655832879603,0,0.00853175573850515,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANGPTL",0,0,0,0,0,0,0,0,0,0,0,0,0.0224152576560356,0,0,0,0,0,0,0,0
"SLIT",0,0,0,0,0,0,0,0,0.00122318087684436,0.00138236420776057,0.00152246911303824,0.000513995735247427,0.00131988338462783,0.000545328880258219,0.000526394353850268,0,0.000901407327273292,0.00106725637130609,0,0,0
