"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0.511294213481576,-0.0283141776090981,-8.17874478336423e-05,"GM56808",0.691002998925476
"OK",0.527208241426086,-0.0682539048059851,-0.000174942331295328,"GABRR2",0.691002998925476
"OK",0.553584386601535,-0.134722571010314,-0.000280853470733904,"FAM131C",0.691002998925476
"OK",0.454542518968887,0.11419270085093,0.000180631833613574,"ABLIM2",0.691002998925476
"OK",0.56755307916362,-0.170147877436042,-0.000319747197835169,"GM43118",0.691002998925476
"OK",0.515627221706987,-0.0391816587724487,-0.000116533322846904,"GM57259",0.691002998925476
"OK",0.40622767713133,0.237259661360255,0.000397883748685244,"GM32673",0.691002998925476
"OK",0.555637034356422,-0.139916541927298,-0.000286364948850883,"GM44633",0.691002998925476
"OK",0.523204881776465,-0.0581988503659405,-0.000156869909960915,"GM40457",0.691002998925476
"OK",0.554758144780732,-0.137692166775175,-0.00028800678084629,"FADDOS",0.691002998925476
"OK",0.565039267808088,-0.163758243888532,-0.000344753200681304,"CDH3",0.691002998925476
"OK",0.426589361804442,0.185064145420156,0.000315221383088494,"IL18",0.691002998925476
"OK",0.555608542387931,-0.139844421014985,-0.000300892682772583,"D030045P18RIK",0.691002998925476
"OK",0.553155996545647,-0.133639045947543,-0.000285058923903552,"CD300LD",0.691002998925476
"OK",0.414634137643873,0.215640126327041,0.000382722459566464,"TMPRSS6",0.691002998925476
"OK",0.436748908161212,0.159217119725203,0.000271341074152388,"ZFP229",0.691002998925476
"OK",0.52242568455253,-0.0562424921234649,-0.000102595637851931,"CABP2",0.691002998925476
"OK",0.578250260880233,-0.197419235284771,-0.000376670175024283,"GM34922",0.691002998925476
"OK",0.55921189311357,-0.148971383311239,-0.000321623119927834,"CHRDL1",0.691002998925476
"OK",0.589105702021125,-0.225245112962988,-0.000490045913674567,"1700056E22RIK",0.691002998925476
"OK",0.5029775069579,-0.00746357242094673,-5.96678961307745e-05,"CRAT",0.691002998925476
"OK",0.517196581533476,-0.0431187950697764,-0.000125863191098097,"OAZ3",0.691002998925476
"OK",0.559970566476996,-0.15089459143373,-0.000322831375225725,"GM4610",0.691002998925476
"OK",0.44287406858141,0.14368636684254,0.000234856152080568,"GM57064",0.691002998925476
"OK",0.502684066664563,-0.00672800815048374,-5.81157383347954e-05,"STRIP2",0.691002998925476
"OK",0.55509536286265,-0.138545548384631,-0.000309486906859163,"USP29",0.691002998925476
"OK",0.457440592158954,0.10688377601348,0.000167376756985577,"LIPE",0.691002998925476
"OK",0.444424623132432,0.139760470989389,0.000213705177081654,"ENSMUSG00000078677",0.691002998925476
"OK",0.553593566709898,-0.134745791944138,-0.000277655392454046,"SPEM1",0.691002998925476
