,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
45,CEBPD(+),-0.13363739516598838,6.073591255791641e-55,1.164104990693398e-53,0.14408992491179537,0.1580747413216238,1167,8353,4
46,YY1(-),-0.11749300863690972,0.0002104352956858089,0.0006205143334325134,0.02556042786410479,0.02772918086986239,1167,8353,4
47,KLF3(-),-0.11283505196763281,5.100039699345289e-06,1.832826766952213e-05,0.04519843889666631,0.048875382695485366,1167,8353,4
48,ELF3(-),-0.10671101920816119,3.104767718329461e-39,5.100689822969828e-38,0.03265645715457144,0.03516351535063843,1167,8353,4
49,NFE2L2(+),-0.10259696072998417,7.011189952218308e-80,1.6125736890102108e-78,0.7903963720577947,0.8486521207438568,1167,8353,4
50,RFX3(+),-0.08962016846555974,1.5875011840191449e-27,1.8256263616220167e-26,0.10112951041024817,0.10761090007390499,1167,8353,4
51,FOS(+),-0.08756295604330167,3.4511993537727657e-06,1.2802836312382841e-05,0.3998023040841986,0.42481942717020965,1167,8353,4
52,SMAD1(+),-0.08730871281618287,8.208914801198156e-13,4.4953581054180375e-12,0.16265630321012473,0.1728038599630391,1167,8353,4
53,JUND(-),-0.08432763323922561,1.1718315728146093e-05,3.963547966872943e-05,0.0433183327161539,0.04592581587411467,1167,8353,4
54,FOSB(+),-0.0840676270759114,1.5689674611660033e-23,1.6402841639462761e-22,0.07881602125471306,0.08354517729682445,1167,8353,4
55,ELK3(-),-0.07267661911212488,2.0434725916703627e-34,2.9374918505261465e-33,0.02690188968644309,0.02829180334270218,1167,8353,4
56,SMAD1(-),-0.07005769574722731,0.001245540873254387,0.00349359025425011,0.0397734621090252,0.04175253651026067,1167,8353,4
57,FOSL1(+),-0.06713961347105085,7.597946889187286e-19,6.24117065897527e-18,0.23477759778044616,0.24596181678981202,1167,8353,4
58,NFIA(+),-0.06676951255930469,2.6243888584305885e-17,1.8862794919969854e-16,0.1274295518118098,0.13346573481170415,1167,8353,4
59,KLF7(-),-0.0658849026868072,2.096601229866062e-05,6.88883261241706e-05,0.030905519180748353,0.03234963435823713,1167,8353,4
60,ATF1(-),-0.06176674300762355,6.111801017072216e-14,3.5142855848165244e-13,0.03907898551279978,0.040788423868390745,1167,8353,4
61,NFIC(+),-0.0546675039240067,6.899037660136919e-15,4.407718505087476e-14,0.13690063300421554,0.14218769528997666,1167,8353,4
62,FOSL1(-),-0.05448186286359561,1.0805768935772349e-05,3.765646750344909e-05,0.025628891632590908,0.026615246961024647,1167,8353,4
63,ILF2(+),-0.04709856745829499,2.288512155433498e-12,1.196267717612965e-11,0.1295571812337556,0.1338565329945326,1167,8353,4
64,GATA6(+),-0.04680652259931566,3.2235121658149448e-12,1.6117560829074722e-11,0.13033922817043234,0.13463727474669268,1167,8353,4
65,ATF4(+),-0.03817323060515316,4.461686830863588e-11,2.1378916064554692e-10,0.12894182115967304,0.13239911659510772,1167,8353,4
66,JUND(+),-0.0379075625032135,1.311527014692646e-10,5.800984872679012e-10,0.15970603313329781,0.16395800904930885,1167,8353,4
67,FOXO1(-),-0.034139828541333295,7.598984070552059e-10,3.236604326346247e-09,0.041662606469525305,0.042660265029106165,1167,8353,4
68,CEBPB(+),-0.028902673796484757,2.2406057132051718e-07,8.885160586848096e-07,0.1511693840104571,0.15422842204813245,1167,8353,4
69,TEAD1(+),-0.021888460994711305,0.000178427748352787,0.0005399787121202765,0.1437063172965706,0.14590324243329342,1167,8353,4
70,YY1(+),-0.020795591342525406,4.921179225452902e-05,0.00015720433636863437,0.13499121798630287,0.1369511276883607,1167,8353,4
71,STAT1(+),-0.015355597237688604,0.017161759426718225,0.0458977286993627,0.10271437150849333,0.10381347019427153,1167,8353,4
72,MXD1(-),-0.3671323231708347,1.1461829810748994e-21,2.636220856472269e-20,0.05324950292374095,0.0686804926206662,1769,7751,2
73,TCF7L2(-),-0.25738833464699384,8.164150101502971e-07,5.5228074216049505e-06,0.024938189708463874,0.029808940245961528,1769,7751,2
74,SOX4(-),-0.25121322701897325,1.6031869347381986e-24,4.609162437372321e-23,0.02106480480180508,0.025071490815875397,1769,7751,2
75,MYC(-),-0.223509969620368,0.00048426320075884577,0.0020626025217506394,0.026500180179350356,0.03094083532104672,1769,7751,2
76,HLTF(+),-0.20614581905775103,2.1579335962625377e-07,1.6544157571346123e-06,0.08456825952010615,0.09755813025386537,1769,7751,2
77,YBX1(-),-0.17718685306531642,5.284155921657609e-17,8.681113299866072e-16,0.024899828498334498,0.0281536634969612,1769,7751,2
78,NR2F6(-),-0.15720903278719894,0.00012320002813752946,0.0005903334681589954,0.03862418530726616,0.04307090207049466,1769,7751,2
79,HLTF(-),-0.11528641384144268,1.9792811549822904e-05,0.00011380866641148171,0.03197088967870901,0.034630550203470244,1769,7751,2
80,YY1(-),-0.10144305006781575,3.423971275518737e-05,0.00017898031667484308,0.025925678608393697,0.027814261600454485,1769,7751,2
81,PRDM1(-),-0.09957190975309237,5.897783982389204e-11,6.165865072497804e-10,0.03973541584174864,0.0425747292388536,1769,7751,2
82,SOX4(+),-0.08879537249919814,2.018767908369031e-25,1.1607915473121928e-23,0.593476076606569,0.6311510188223008,1769,7751,2
83,ATF4(+),-0.075115366768228,2.6831159701188646e-57,3.0855833656366943e-55,0.12647199144534368,0.13323132155147208,1769,7751,2
84,ELF1(-),-0.0712746936058054,1.3210553310908796e-10,1.266011358962093e-09,0.027290991393069963,0.028673131993586173,1769,7751,2
85,GRHL2(-),-0.07007010229006147,0.0008639403171245522,0.003425970223080121,0.036273654881963394,0.03807891101055407,1769,7751,2
86,ETV6(-),-0.06771912742295774,8.54098687696724e-06,5.4567416158401815e-05,0.030258336908612436,0.03171250461810207,1769,7751,2
87,ILF2(-),-0.06621433608042214,8.426193714506918e-12,9.690122771682956e-11,0.03438386708705239,0.03599873345449828,1769,7751,2
88,BACH2(-),-0.06233385716284748,0.0003474328287539417,0.001598191012268132,0.02947701826502717,0.030778532698237576,1769,7751,2
89,HIF1A(-),-0.057757118322426894,0.007774763798757562,0.02629699520167999,0.044872854452639326,0.04670574697292239,1769,7751,2
90,CTCF(-),-0.05430044140418615,0.001370675109740219,0.005254254587337507,0.03657510521525065,0.03797796117776208,1769,7751,2
91,KLF4(-),-0.04534168240615713,0.008535717165778212,0.028045927830414125,0.04249953358410966,0.04385643952123916,1769,7751,2
92,FOSB(-),-0.04532532506405471,0.0030390973945857488,0.010590793950829125,0.03407867588581135,0.03516632576357086,1769,7751,2
93,RFX3(-),-0.04221517317655665,5.988908204863547e-08,5.2978803350716e-07,0.03152010499492475,0.03245605190745165,1769,7751,2
94,FOSL1(-),-0.041472488276530085,1.3039575148798232e-05,7.892374432167351e-05,0.025879831165831212,0.026634583030359617,1769,7751,2
95,ELF2(-),-0.03838577265469854,1.8386585617745596e-19,3.524095576734573e-18,0.03094771513125789,0.03178219295030039,1769,7751,2
96,ELK3(-),-0.03787999315624878,9.018974135429823e-14,1.296477531968037e-12,0.027525210027099022,0.02825749478102599,1769,7751,2
97,FOXO1(-),-0.03534029603858432,1.223971798690003e-13,1.5639639649927817e-12,0.04169610385720417,0.042730105510858575,1769,7751,2
98,KLF4(+),-0.03531669602168721,0.00037748395651089216,0.0016696405768751,0.10321578801014754,0.10577365643790285,1769,7751,2
99,GATA6(-),-0.02930200345099802,4.397446496819577e-07,3.160664669589071e-06,0.03589682342934572,0.036633363981251395,1769,7751,2
100,CLOCK(+),-0.027308125711458055,1.0944103727753933e-07,8.989799490655016e-07,0.11068095729561055,0.11279594102701547,1769,7751,2
101,MYC(+),-0.020647872761660795,3.8199365924749734e-05,0.00019099682962374866,0.1721497251748264,0.17463125005400465,1769,7751,2
102,ILF2(+),-0.019653791707247816,3.1199565057680256e-05,0.00017085476103015379,0.131856994269137,0.13366556931247797,1769,7751,2
103,NFIA(+),-0.01829801662023466,0.0018698614371442316,0.006936582750696343,0.1313606693968482,0.13303735591323967,1769,7751,2
104,CEBPD(+),-0.013545176311328231,0.0024338950420794815,0.008746810307473136,0.15516870292284488,0.15663241145156442,1769,7751,2
105,JUND(+),-0.010930546519775305,0.0006057287323968135,0.0024878144366297698,0.16243100396741514,0.16366633263283178,1769,7751,2
106,ELF3(+),-0.00788251689254291,0.008812886194182431,0.02815227534252721,0.13334488978947104,0.13407544615362446,1769,7751,2
107,NFE2L2(+),-0.006775824781784516,1.1970858955614368e-24,4.5888292663188413e-23,0.83829777573485,0.8422442220990739,1769,7751,2
108,ATF3(+),-0.3267137322887405,3.3576584006486797e-103,3.861307160745982e-101,0.4666828482214029,0.5852918454332995,692,8828,5
109,NFKB1(+),-0.2841082883329687,2.914044766238497e-67,1.6755757405871358e-65,0.13779270382521963,0.16778430739090516,692,8828,5
110,FOS(+),-0.271345866224577,6.543325803185715e-26,1.2541374456105956e-24,0.3538516269733823,0.4270752875117172,692,8828,5
111,NR3C1(-),-0.24859320471860627,3.554000044051114e-17,5.108875063323477e-16,0.04191347739562607,0.04979522590936804,692,8828,5
112,THRB(-),-0.21270538379028214,1.07829397875473e-06,6.889100419821885e-06,0.03413009828469075,0.03955198108921989,692,8828,5
113,MXD1(+),-0.20456370940095062,3.499713414790788e-28,8.049340854018812e-27,0.16028864817962724,0.1847066702001276,692,8828,5
114,NFKB1(-),-0.2040980918560976,3.308559287530746e-11,3.458948346054871e-10,0.04095655623665584,0.04718055895006743,692,8828,5
115,JUN(+),-0.16195802569449236,1.1415083523434645e-35,4.375782017316614e-34,0.09941115777424571,0.11122165572230225,692,8828,5
116,THRB(+),-0.14703763259501104,7.04836909619836e-32,2.0264061151570285e-30,0.1445988001127365,0.16011330692051748,692,8828,5
117,EHF(-),-0.11794045597706664,0.003607159992342372,0.014815121397120455,0.024814638770835815,0.026928463496676484,692,8828,5
118,FOXO1(+),-0.11259182220737715,4.189152504659232e-12,4.817525380358117e-11,0.13006341094368556,0.14062050566263093,692,8828,5
119,IRF6(+),-0.10229325272243124,8.6344900515927e-23,1.4185233656188006e-21,0.12906475363190592,0.13854823398282645,692,8828,5
120,KLF4(-),-0.09505900973019656,7.891831269226221e-05,0.0004321717123623883,0.041013929695898725,0.04380735141479973,692,8828,5
121,SOX4(+),-0.08228074354434514,7.719929781598155e-11,7.398266040698232e-10,0.5919346895369053,0.6266755687867179,692,8828,5
122,PRDM1(+),-0.07624141571699969,1.1231100056700935e-13,1.4350850072451193e-12,0.17221169154193341,0.18155724573368867,692,8828,5
123,HMGA2(-),-0.0734555736245066,0.007572008108960283,0.029026031084347755,0.03516040510701633,0.03699697378600018,692,8828,5
124,JUND(-),-0.05573664191800051,0.002357138851024406,0.010425806456454103,0.043999049544189574,0.04573215813226693,692,8828,5
125,ELK3(+),-0.051755795763279655,4.679288296018759e-10,4.139370415708902e-09,0.1313973035583411,0.13619667341537559,692,8828,5
126,ARID5B(+),-0.04657333597883866,1.0716494276604901e-07,8.21597894539709e-07,0.14668429932761223,0.15149684966546534,692,8828,5
127,TFAP2A(+),-0.04347127180583477,4.9321717210637866e-08,4.0514267708738247e-07,0.1463195016498185,0.15079549601824496,692,8828,5
128,E2F7(+),-0.04099022560071228,8.921544956893025e-07,6.035162764957046e-06,0.11807639520140333,0.12147932594677824,692,8828,5
129,KLF5(+),-0.03831254106104165,2.153782920520308e-07,1.5480314741239714e-06,0.13780357641394708,0.1415121447336477,692,8828,5
130,TCF7L2(+),-0.03692279364045041,0.0034138858809548847,0.014540625048511545,0.37765244190279407,0.3874424172721027,692,8828,5
131,FOSB(+),-0.03159492588275801,0.00035941149920909975,0.0017970574960454986,0.08129627878540316,0.08309630016369812,692,8828,5
132,BACH2(+),-0.03035356533590401,4.125941644282189e-05,0.00023724164454622587,0.16136734299380937,0.16479839656961456,692,8828,5
133,KLF3(+),-0.026308354724558815,1.4345353022496927e-05,8.682713671511299e-05,0.12072736648129705,0.12294909351815848,692,8828,5
134,EHF(+),-0.022798205181283955,0.0001246012333896476,0.0006513246290822487,0.12484007468440621,0.12682853135932248,692,8828,5
135,KLF6(+),-0.020971835373418943,0.00046404768699741245,0.002223561833529268,0.1410936464476803,0.14315964380263954,692,8828,5
136,EGR1(+),-0.015650292929737263,0.0014410058126682265,0.0066286267382738425,0.11543411671779223,0.11669315765993965,692,8828,5
137,SMAD3(+),-0.015346531221813212,0.005316722720337355,0.02108355561513089,0.13958934839637535,0.1410821424694744,692,8828,5
138,KLF12(+),-0.011400873350200704,0.009775657264391112,0.0362645350130638,0.12641626344739465,0.12741922357403193,692,8828,5
139,MYC(-),-1.00350772449975,1.180950914791897e-58,2.6117183692513104e-58,0.01659575466047003,0.033272309330465995,1802,7718,1
140,TEAD1(-),-0.7844871829759232,1.4236655544234605e-17,2.2427608049136705e-17,0.01286968616751546,0.02216777700430324,1802,7718,1
141,FOXP1(-),-0.5169596705267274,5.5052267864599336e-33,1.0378706236768727e-32,0.07301425034013401,0.10447875762750539,1802,7718,1
142,SMAD1(+),-0.5090446620005163,0.0,0.0,0.12774196930087542,0.18179055706624828,1802,7718,1
143,SMAD2(-),-0.47265314023227956,1.5185452352615122e-13,2.2679571695464142e-13,0.019832338696194413,0.02752052468508672,1802,7718,1
144,STAT1(-),-0.45455426725872183,1.0659331200260655e-12,1.5715680615768915e-12,0.029772531538842347,0.04079906750286335,1802,7718,1
145,HLTF(-),-0.43370691929503935,1.0732897029989882e-70,2.626134379678375e-70,0.026579362824901195,0.03590073680464648,1802,7718,1
146,REL(+),-0.42523726957530017,1.5614885796706978e-139,4.9880885183925066e-139,0.22683955545609596,0.3045986410480646,1802,7718,1
147,TCF7L2(+),-0.42083547274670163,1.7500088273281551e-304,1.437507251019556e-303,0.3034155948727992,0.4061832401547129,1802,7718,1
148,ATF3(+),-0.4000620290471202,0.0,0.0,0.45801082672807286,0.6043748941034432,1802,7718,1
149,SOX9(-),-0.3876048113830983,1.6271419627759887e-20,2.7119032712933146e-20,0.042616500448698025,0.05575174445187425,1802,7718,1
150,HIF1A(+),-0.3853872722979816,0.0,0.0,0.12959908901454872,0.16928367494629917,1802,7718,1
151,RUNX1(+),-0.3844568419102939,1.2395749884542506e-218,5.091111559722815e-218,0.3437537490925777,0.44872522621393396,1802,7718,1
152,IRF6(-),-0.3498721629718706,4.505684998207208e-20,7.402196782768985e-20,0.029428011645806516,0.03750446184556899,1802,7718,1
153,STAT1(+),-0.3478933446090023,0.0,0.0,0.08490723648336655,0.10806151178286284,1802,7718,1
154,NFIC(-),-0.3470224022502175,1.1684370987093831e-14,1.768029820415514e-14,0.030922138845333496,0.03933088159305178,1802,7718,1
155,NR2F6(-),-0.33981904038315164,1.279618152060158e-18,2.0726209505199745e-18,0.03475996300030217,0.04399213428743372,1802,7718,1
156,NFKB1(+),-0.3364970029041423,4.484766835534382e-207,1.6637038260853353e-206,0.13652856709112374,0.17239283995798893,1802,7718,1
157,MYC(+),-0.3289792371536622,0.0,0.0,0.14422312179744717,0.18116216863486087,1802,7718,1
158,MXD1(-),-0.30681737328963343,1.8837047685877358e-16,2.888347311834528e-16,0.05520680046987089,0.06828948102204903,1802,7718,1
159,KLF10(-),-0.3066365216738474,0.0,0.0,0.06643092567010359,0.08216315285322545,1802,7718,1
160,CEBPD(+),-0.3048459570059883,0.0,0.0,0.13131252107723831,0.16220861539911946,1802,7718,1
161,ATF4(-),-0.29644822773136614,1.3996620356330185e-09,2.0120141762224642e-09,0.022284103964676092,0.027367491274173237,1802,7718,1
162,NFIA(+),-0.2928338872244858,0.0,0.0,0.11224675543107089,0.13750724495461958,1802,7718,1
163,KLF4(+),-0.29112950998711945,6.064800034041582e-137,1.8850054159858973e-136,0.08913965380417005,0.1090710914595777,1802,7718,1
164,NFKB1(-),-0.2910668944750069,1.228987496314507e-32,2.2795735818736825e-32,0.03955885352376238,0.04840202867026965,1802,7718,1
