,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
45,MXD1(+),-0.20456370940095062,3.499713414790788e-28,4.059667561157314e-27,0.16028864817962724,0.1847066702001276,692,8828,5
46,JUN(+),-0.16195802569449236,1.1415083523434645e-35,2.2069161478640316e-34,0.09941115777424571,0.11122165572230225,692,8828,5
47,THRB(+),-0.14703763259501104,7.04836909619836e-32,1.0220135189487623e-30,0.1445988001127365,0.16011330692051748,692,8828,5
48,FOXO1(+),-0.11259182220737715,4.189152504659232e-12,2.6996760585581717e-11,0.13006341094368556,0.14062050566263093,692,8828,5
49,IRF6(+),-0.10229325272243124,8.6344900515927e-23,7.154291757033951e-22,0.12906475363190592,0.13854823398282645,692,8828,5
50,SOX4(+),-0.08228074354434514,7.719929781598155e-11,4.4775592733269297e-10,0.5919346895369053,0.6266755687867179,692,8828,5
51,PRDM1(+),-0.07624141571699969,1.1231100056700935e-13,8.142547541108178e-13,0.17221169154193341,0.18155724573368867,692,8828,5
52,ELK3(+),-0.051755795763279655,4.679288296018759e-10,2.467261101537164e-09,0.1313973035583411,0.13619667341537559,692,8828,5
53,ARID5B(+),-0.04657333597883866,1.0716494276604901e-07,4.781205138792956e-07,0.14668429932761223,0.15149684966546534,692,8828,5
54,TFAP2A(+),-0.04347127180583477,4.9321717210637866e-08,2.3838829985141635e-07,0.1463195016498185,0.15079549601824496,692,8828,5
55,E2F7(+),-0.04099022560071228,8.921544956893025e-07,3.4496640499986363e-06,0.11807639520140333,0.12147932594677824,692,8828,5
56,KLF5(+),-0.03831254106104165,2.153782920520308e-07,8.922814956441276e-07,0.13780357641394708,0.1415121447336477,692,8828,5
57,TCF7L2(+),-0.03692279364045041,0.0034138858809548847,0.009000244595244697,0.37765244190279407,0.3874424172721027,692,8828,5
58,FOSB(+),-0.03159492588275801,0.00035941149920909975,0.001097150892322515,0.08129627878540316,0.08309630016369812,692,8828,5
59,BACH2(+),-0.03035356533590401,4.125941644282189e-05,0.00014076742080492175,0.16136734299380937,0.16479839656961456,692,8828,5
60,KLF3(+),-0.026308354724558815,1.4345353022496927e-05,5.200190470655136e-05,0.12072736648129705,0.12294909351815848,692,8828,5
61,EHF(+),-0.022798205181283955,0.0001246012333896476,0.00040149286314442,0.12484007468440621,0.12682853135932248,692,8828,5
62,SMAD1(+),-0.5090446620005163,0.0,0.0,0.12774196930087542,0.18179055706624828,1802,7718,1
63,REL(+),-0.42523726957530017,1.5614885796706978e-139,2.5876096463114423e-139,0.22683955545609596,0.3045986410480646,1802,7718,1
