,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
46,YY1(-),-0.10144305006781575,3.423971275518737e-05,0.00012197897669035502,0.025925678608393697,0.027814261600454485,1769,7751,2
47,PRDM1(-),-0.09957190975309237,5.897783982389204e-11,4.202171087452308e-10,0.03973541584174864,0.0425747292388536,1769,7751,2
48,TFAP2A(-),-0.07686692024404125,0.021648903142582044,0.04935949916508706,0.03861490157209946,0.04072810291375873,1769,7751,2
49,ELF1(-),-0.0712746936058054,1.3210553310908796e-10,8.366683763575571e-10,0.027290991393069963,0.028673131993586173,1769,7751,2
50,GRHL2(-),-0.07007010229006147,0.0008639403171245522,0.002462229903804974,0.036273654881963394,0.03807891101055407,1769,7751,2
51,ETV6(-),-0.06771912742295774,8.54098687696724e-06,3.7448942460548674e-05,0.030258336908612436,0.03171250461810207,1769,7751,2
52,ILF2(-),-0.06621433608042214,8.426193714506918e-12,6.861329167527061e-11,0.03438386708705239,0.03599873345449828,1769,7751,2
53,BACH2(-),-0.06233385716284748,0.0003474328287539417,0.0011002039577208155,0.02947701826502717,0.030778532698237576,1769,7751,2
54,HIF1A(-),-0.057757118322426894,0.007774763798757562,0.01926789289257309,0.044872854452639326,0.04670574697292239,1769,7751,2
55,CTCF(-),-0.05430044140418615,0.001370675109740219,0.0037204038692948806,0.03657510521525065,0.03797796117776208,1769,7751,2
56,KLF4(-),-0.04534168240615713,0.008535717165778212,0.020272328268723255,0.04249953358410966,0.04385643952123916,1769,7751,2
57,FOSB(-),-0.04532532506405471,0.0030390973945857488,0.00787402506779035,0.03407867588581135,0.03516632576357086,1769,7751,2
58,RFX3(-),-0.04221517317655665,5.988908204863547e-08,3.413677676772222e-07,0.03152010499492475,0.03245605190745165,1769,7751,2
59,NR3C1(-),-0.24859320471860627,3.554000044051114e-17,2.0257800251091353e-15,0.04191347739562607,0.04979522590936804,692,8828,5
60,THRB(-),-0.21270538379028214,1.07829397875473e-06,2.048758559633987e-05,0.03413009828469075,0.03955198108921989,692,8828,5
61,NFKB1(-),-0.2040980918560976,3.308559287530746e-11,9.429393969462627e-10,0.04095655623665584,0.04718055895006743,692,8828,5
62,EHF(-),-0.11794045597706664,0.003607159992342372,0.034268019927252535,0.024814638770835815,0.026928463496676484,692,8828,5
63,KLF4(-),-0.09505900973019656,7.891831269226221e-05,0.0011245859558647365,0.041013929695898725,0.04380735141479973,692,8828,5
64,JUND(-),-0.05573664191800051,0.002357138851024406,0.026871382901678228,0.043999049544189574,0.04573215813226693,692,8828,5
