,TF,log2FC,pval,qval,cluster_mean,others_mean,n_in,n_out,cluster
70,NFYB(+),-0.3063908530592396,4.998380973896843e-08,7.958960473820358e-07,0.019481372576485374,0.024090864983348222,1769,7751,2
71,SREBF1(-),-0.28853138585549976,4.319195741819804e-07,5.830914251456735e-06,0.03959071848003083,0.04835595748633446,1769,7751,2
72,LMX1B(-),-0.2829218430744072,6.201214689618901e-24,4.813692902816672e-22,0.16236039938029032,0.19753682659960342,1769,7751,2
73,FOXJ3(-),-0.27550608829427875,3.78458619938605e-05,0.0003219490451806489,0.019104511826532493,0.023124457088499757,1769,7751,2
74,HNF4G(-),-0.2730791238067881,1.3550630642004811e-11,2.804980542894996e-10,0.04284904920994579,0.05177811060483958,1769,7751,2
75,ESRRA(+),-0.25645079197529363,0.00019985334283191764,0.0014265393781450672,0.027549883200031294,0.032909337936203924,1769,7751,2
76,NFYA(-),-0.253337684084847,4.910795491805298e-11,9.837432259390613e-10,0.040129808677056546,0.04783318866752289,1769,7751,2
77,ZNF91(+),-0.2510004836235618,0.0031129979817804084,0.017899738395237348,0.01625150307077915,0.019339810440019305,1769,7751,2
78,HOXD8(-),-0.24799597315874247,0.00020235156201383673,0.0014279581819385526,0.051772556734108924,0.06148282876376035,1769,7751,2
79,BACH2(+),-0.24605340177731938,6.946538104187113e-31,1.4379333875667326e-28,0.15822672002201288,0.18765030745655104,1769,7751,2
80,ZIC2(+),-0.7656488366974563,2.7106174713913872e-08,3.300575391635395e-07,0.02286925742360563,0.03888081294750918,692,8828,5
81,FOSB(-),-0.6904026298967626,3.2045026070834293e-28,1.6583300991656747e-26,0.03831845189432039,0.061835782339165764,692,8828,5
82,CLOCK(+),-0.641661388628933,4.583053478264977e-08,5.473223480774136e-07,0.030369752853874558,0.04738060346776642,692,8828,5
83,OVOL1(-),-0.5091192137540989,4.987962931532009e-08,5.827417230787924e-07,0.02539281243500542,0.03613857008081737,692,8828,5
